,Referee,B365H lag 7 matches,B365H lag 6 matches,B365H lag 5 matches,B365H lag 4 matches,B365H lag 3 matches,B365H lag 2 matches,B365H lag 1 match,B365H most recent match,B365D lag 7 matches,B365D lag 6 matches,B365D lag 5 matches,B365D lag 4 matches,B365D lag 3 matches,B365D lag 2 matches,B365D lag 1 match,B365D most recent match,B365A lag 7 matches,B365A lag 6 matches,B365A lag 5 matches,B365A lag 4 matches,B365A lag 3 matches,B365A lag 2 matches,B365A lag 1 match,B365A most recent match,HICT lag 7 matches,HICT lag 6 matches,HICT lag 5 matches,HICT lag 4 matches,HICT lag 3 matches,HICT lag 2 matches,HICT lag 1 match,HICT most recent match,AICT lag 7 matches,AICT lag 6 matches,AICT lag 5 matches,AICT lag 4 matches,AICT lag 3 matches,AICT lag 2 matches,AICT lag 1 match,AICT most recent match,DifICT lag 7 matches,DifICT lag 6 matches,DifICT lag 5 matches,DifICT lag 4 matches,DifICT lag 3 matches,DifICT lag 2 matches,DifICT lag 1 match,DifICT most recent match
96,J Gillett,1.14,2.8,3.4,2.2,1.95,1.25,1.57,1.6,8.0,3.5,3.5,3.2,3.6,6.0,3.9,4.0,19.0,2.45,2.1,3.5,3.75,12.0,6.0,5.75,8813.7,7989.7,7590.9,8011.099999999999,7842.599999999999,8617.9,7866.999999999999,7541.7,7774.0,8155.8,7777.099999999999,8113.900000000001,8036.1,7804.7,7803.6,7562.500000000001,1039.7000000000007,-166.10000000000036,-186.19999999999982,-102.80000000000109,-193.5000000000009,813.1999999999998,63.39999999999873,-20.80000000000109
97,M Oliver,2.8,3.4,2.2,1.95,1.25,1.57,1.6,4.75,3.5,3.5,3.2,3.6,6.0,3.9,4.0,4.0,2.45,2.1,3.5,3.75,12.0,6.0,5.75,1.7,7989.7,7590.9,8011.099999999999,7842.599999999999,8617.9,7866.999999999999,7541.7,8741.8,8155.8,7777.099999999999,8113.900000000001,8036.1,7804.7,7803.6,7562.500000000001,8856.9,-166.10000000000036,-186.19999999999982,-102.80000000000109,-193.5000000000009,813.1999999999998,63.39999999999873,-20.80000000000109,-115.10000000000036
98,G Scott,3.4,2.2,1.95,1.25,1.57,1.6,4.75,2.45,3.5,3.2,3.6,6.0,3.9,4.0,4.0,3.2,2.1,3.5,3.75,12.0,6.0,5.75,1.7,3.0,7590.9,8011.099999999999,7842.599999999999,8617.9,7866.999999999999,7541.7,8741.8,7851.4,7777.099999999999,8113.900000000001,8036.1,7804.7,7803.6,7562.500000000001,8856.9,8043.199999999999,-186.19999999999982,-102.80000000000109,-193.5000000000009,813.1999999999998,63.39999999999873,-20.80000000000109,-115.10000000000036,-191.79999999999927
99,D England,2.2,1.95,1.25,1.57,1.6,4.75,2.45,2.8,3.2,3.6,6.0,3.9,4.0,4.0,3.2,3.5,3.5,3.75,12.0,6.0,5.75,1.7,3.0,2.45,8011.099999999999,7842.599999999999,8617.9,7866.999999999999,7541.7,8741.8,7851.4,7882.400000000001,8113.900000000001,8036.1,7804.7,7803.6,7562.500000000001,8856.9,8043.199999999999,8221.2,-102.80000000000109,-193.5000000000009,813.1999999999998,63.39999999999873,-20.80000000000109,-115.10000000000036,-191.79999999999927,-338.8000000000002
100,C Pawson,1.95,1.25,1.57,1.6,4.75,2.45,2.8,4.75,3.6,6.0,3.9,4.0,4.0,3.2,3.5,4.0,3.75,12.0,6.0,5.75,1.7,3.0,2.45,1.7,7842.599999999999,8617.9,7866.999999999999,7541.7,8741.8,7851.4,7882.400000000001,8215.8,8036.1,7804.7,7803.6,7562.500000000001,8856.9,8043.199999999999,8221.2,8838.6,-193.5000000000009,813.1999999999998,63.39999999999873,-20.80000000000109,-115.10000000000036,-191.79999999999927,-338.8000000000002,-622.8000000000011
101,K Friend,1.25,1.57,1.6,4.75,2.45,2.8,4.75,1.36,6.0,3.9,4.0,4.0,3.2,3.5,4.0,4.75,12.0,6.0,5.75,1.7,3.0,2.45,1.7,8.5,8617.9,7866.999999999999,7541.7,8741.8,7851.4,7882.400000000001,8215.8,8232.9,7804.7,7803.6,7562.500000000001,8856.9,8043.199999999999,8221.2,8838.6,7758.0,813.1999999999998,63.39999999999873,-20.80000000000109,-115.10000000000036,-191.79999999999927,-338.8000000000002,-622.8000000000011,474.89999999999964
102,C Kavanagh,1.57,1.6,4.75,2.45,2.8,4.75,1.36,3.1,3.9,4.0,4.0,3.2,3.5,4.0,4.75,3.25,6.0,5.75,1.7,3.0,2.45,1.7,8.5,2.37,7866.999999999999,7541.7,8741.8,7851.4,7882.400000000001,8215.8,8232.9,8203.2,7803.6,7562.500000000001,8856.9,8043.199999999999,8221.2,8838.6,7758.0,8419.799999999997,63.39999999999873,-20.80000000000109,-115.10000000000036,-191.79999999999927,-338.8000000000002,-622.8000000000011,474.89999999999964,-216.59999999999673
103,M Atkinson,1.6,4.75,2.45,2.8,4.75,1.36,3.1,3.6,4.0,4.0,3.2,3.5,4.0,4.75,3.25,3.5,5.75,1.7,3.0,2.45,1.7,8.5,2.37,2.05,7541.7,8741.8,7851.4,7882.400000000001,8215.8,8232.9,8203.2,7630.599999999999,7562.500000000001,8856.9,8043.199999999999,8221.2,8838.6,7758.0,8419.799999999997,7847.199999999999,-20.80000000000109,-115.10000000000036,-191.79999999999927,-338.8000000000002,-622.8000000000011,474.89999999999964,-216.59999999999673,-216.59999999999945
104,P Tierney,4.75,2.45,2.8,4.75,1.36,3.1,3.6,4.75,4.0,3.2,3.5,4.0,4.75,3.25,3.5,3.75,1.7,3.0,2.45,1.7,8.5,2.37,2.05,1.75,8741.8,7851.4,7882.400000000001,8215.8,8232.9,8203.2,7630.599999999999,8307.5,8856.9,8043.199999999999,8221.2,8838.6,7758.0,8419.799999999997,7847.199999999999,8633.6,-115.10000000000036,-191.79999999999927,-338.8000000000002,-622.8000000000011,474.89999999999964,-216.59999999999673,-216.59999999999945,-326.10000000000036
105,M Oliver,2.45,2.8,4.75,1.36,3.1,3.6,4.75,1.45,3.2,3.5,4.0,4.75,3.25,3.5,3.75,4.75,3.0,2.45,1.7,8.5,2.37,2.05,1.75,6.5,7851.4,7882.400000000001,8215.8,8232.9,8203.2,7630.599999999999,8307.5,8776.699999999999,8043.199999999999,8221.2,8838.6,7758.0,8419.799999999997,7847.199999999999,8633.6,8119.200000000001,-191.79999999999927,-338.8000000000002,-622.8000000000011,474.89999999999964,-216.59999999999673,-216.59999999999945,-326.10000000000036,657.4999999999982
